welcome_key_keys,welcome_key_rt,welcome_key_duration,prolific_id,path_id,date,expName,psychopyVersion,OS,frameRate,ins1_key_keys,ins1_key_rt,ins1_key_duration,practice_trial_started,practice_trial_num,prac_key_resp_keys,prac_key_resp_rt,prac_key_resp_duration,prac_resp_corr,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trials.ran,trial,fish1_p,fish2_p,fish3_p,fish4_p,fish5_p,pond_p,pond_p2,pond_p3,ExpStart_key_keys,ExpStart_key_rt,ExpStart_key_duration,block number,block assignment,main_trial_started,main_trial_num,main_trial_keys,main_trial_rt,main_trial_duration,main_resp_corr,fish_interval,key_resp_time,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,fish1,fish2,fish3,fish4,fish5,pond,pond2,pond3,block_correct,reward_amount,date_end_task,pracBlock.thisRepN,pracBlock.thisTrialN,pracBlock.thisN,pracBlock.thisIndex,pracBlock.ran,pracBlock.order,pracBlocksFile,prac_trials.order
,,,,A,2024-05-08_11h18.39.553,Fish Game,2023.1.3,MacIntel,60.97560976,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,1029.9846,2,up,0.8766,,0,1,1031.8685,0,2,2,2,1,stimuli/bead_g.PNG,stimuli/bead_b.PNG,stimuli/bead_y.PNG,stimuli/blank.jpg,stimuli/blank.jpg,0,1,left,,,,,,,,,,,
,,,,A,2024-05-08_11h18.39.553,Fish Game,2023.1.3,MacIntel,60.97560976,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,1032.3712,3,up,0.9497,,0,1.5,1034.8388,0,3,3,3,1,stimuli/bead_b.PNG,stimuli/bead_g.PNG,stimuli/bead_b.PNG,stimuli/bead_y.PNG,stimuli/blank.jpg,0,1,left,,,,,,,,,,,
,,,,A,2024-05-08_11h18.39.553,Fish Game,2023.1.3,MacIntel,60.97560976,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,1035.3388,4,left,0.6134,,1,1,1036.9731,0,4,4,4,1,stimuli/bead_b.PNG,stimuli/bead_b.PNG,stimuli/bead_g.PNG,stimuli/bead_b.PNG,stimuli/bead_y.PNG,0,1,left,,,,,,,,,,,
,,,,A,2024-05-08_11h18.39.553,Fish Game,2023.1.3,MacIntel,60.97560976,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,1037.4731,5,left,0.5097,,1,0.5,1038.4896,0,5,5,5,1,stimuli/bead_b.PNG,stimuli/bead_b.PNG,stimuli/bead_b.PNG,stimuli/bead_g.PNG,stimuli/bead_b.PNG,0,1,left,,,,,,,,,,,
,,,,A,2024-05-08_11h18.39.553,Fish Game,2023.1.3,MacIntel,60.97560976,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,1038.991,6,left,0.6163,,1,0.5,1040.1404,0,6,6,6,1,stimuli/bead_g.PNG,stimuli/bead_b.PNG,stimuli/bead_b.PNG,stimuli/bead_b.PNG,stimuli/bead_g.PNG,0,1,left,,,,,,,,,,,
,,,,A,2024-05-08_11h18.39.553,Fish Game,2023.1.3,MacIntel,60.97560976,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,1040.6409,7,left,0.5585,,1,1,1042.2086,0,7,7,7,1,stimuli/bead_b.PNG,stimuli/bead_g.PNG,stimuli/bead_b.PNG,stimuli/bead_b.PNG,stimuli/bead_b.PNG,0,1,left,,,,,,,,,,,
,,,,A,2024-05-08_11h18.39.553,Fish Game,2023.1.3,MacIntel,60.97560976,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,1042.7091,8,left,0.8538,,1,0.5,1044.0767,0,8,8,8,1,stimuli/bead_y.PNG,stimuli/bead_b.PNG,stimuli/bead_g.PNG,stimuli/bead_b.PNG,stimuli/bead_b.PNG,0,1,left,,,,,,,,,,,
,,,,A,2024-05-08_11h18.39.553,Fish Game,2023.1.3,MacIntel,60.97560976,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,1044.5776,9,left,0.6367,,1,1,1046.2436,0,9,9,9,1,stimuli/bead_b.PNG,stimuli/bead_y.PNG,stimuli/bead_b.PNG,stimuli/bead_g.PNG,stimuli/bead_b.PNG,0,1,left,,,,,,,,,,,
,,,,A,2024-05-08_11h18.39.553,Fish Game,2023.1.3,MacIntel,60.97560976,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,1046.7456,10,left,0.8311,,1,0.5,1048.0949,0,10,10,10,1,stimuli/bead_b.PNG,stimuli/bead_b.PNG,stimuli/bead_y.PNG,stimuli/bead_b.PNG,stimuli/bead_g.PNG,0,1,left,,,,,,,,,,,
,,,,A,2024-05-08_11h18.39.553,Fish Game,2023.1.3,MacIntel,60.97560976,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,1048.5969,11,left,1.1812,,0,0.5,1050.3134,0,11,11,11,1,stimuli/bead_y.PNG,stimuli/bead_b.PNG,stimuli/bead_b.PNG,stimuli/bead_y.PNG,stimuli/bead_b.PNG,1,2,up,,,,,,,,,,,
,,,,A,2024-05-08_11h18.39.553,Fish Game,2023.1.3,MacIntel,60.97560976,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,1050.8144,12,left,0.6222,,0,1.5,1052.9646,0,12,12,12,1,stimuli/bead_y.PNG,stimuli/bead_y.PNG,stimuli/bead_b.PNG,stimuli/bead_b.PNG,stimuli/bead_y.PNG,1,2,up,,,,,,,,,,,
,,,,A,2024-05-08_11h18.39.553,Fish Game,2023.1.3,MacIntel,60.97560976,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,1053.4648,13,left,0.5761,,0,0.5,1054.5487,0,13,13,13,1,stimuli/bead_y.PNG,stimuli/bead_y.PNG,stimuli/bead_y.PNG,stimuli/bead_b.PNG,stimuli/bead_b.PNG,1,2,up,,,,,,,,,,,
,,,,A,2024-05-08_11h18.39.553,Fish Game,2023.1.3,MacIntel,60.97560976,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,1055.0512,14,left,0.6245,,0,0.5,1056.1996,0,14,14,14,1,stimuli/bead_g.PNG,stimuli/bead_y.PNG,stimuli/bead_y.PNG,stimuli/bead_y.PNG,stimuli/bead_b.PNG,1,2,up,,,,,,,,,,,
,,,,A,2024-05-08_11h18.39.553,Fish Game,2023.1.3,MacIntel,60.97560976,,,,,,,,,,,,,,,1,,,,,,,,,,,,9,1condition/mainTrials9.xlsx,1061.7124,0,right,0.5423,,1,1,1063.2704,0,0,0,0,1,stimuli/bead_g.PNG,stimuli/blank.jpg,stimuli/blank.jpg,stimuli/blank.jpg,stimuli/blank.jpg,2,3,right,"[13,13,15,14,14,11,12,7]",,,,,,,,,,
,,,,A,2024-05-08_11h18.39.553,Fish Game,2023.1.3,MacIntel,60.97560976,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,1063.7701,1,right,1.6916,,1,0.5,1065.972,0,1,1,1,1,stimuli/bead_g.PNG,stimuli/bead_g.PNG,stimuli/blank.jpg,stimuli/blank.jpg,stimuli/blank.jpg,2,3,right,,,,,,,,,,,
,,,,A,2024-05-08_11h18.39.553,Fish Game,2023.1.3,MacIntel,60.97560976,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,1066.4739,2,right,0.5606,,1,1.5,1068.5566,0,2,2,2,1,stimuli/bead_b.PNG,stimuli/bead_g.PNG,stimuli/bead_g.PNG,stimuli/blank.jpg,stimuli/blank.jpg,2,3,right,,,,,,,,,,,
