welcome_key_keys,welcome_key_rt,welcome_key_duration,prolific_id,path_id,date,expName,psychopyVersion,OS,frameRate,ins1_key_keys,ins1_key_rt,ins1_key_duration,practice_trial_started,practice_trial_num,prac_key_resp_keys,prac_key_resp_rt,prac_key_resp_duration,prac_resp_corr,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trials.ran,trial,fish1_p,fish2_p,fish3_p,fish4_p,fish5_p,pond_p,pond_p2,pond_p3,ExpStart_key_keys,ExpStart_key_rt,ExpStart_key_duration,block number,block assignment,main_trial_started,main_trial_num,main_trial_keys,fish_interval,key_resp_time,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,fish1,fish2,fish3,fish4,fish5,pond,pond2,pond3,main_trial_rt,main_trial_duration,main_resp_corr,block_correct,block_correct.length,block_correct_all,reward_amount,date_end_task,pracBlock.thisRepN,pracBlock.thisTrialN,pracBlock.thisN,pracBlock.thisIndex,pracBlock.ran,pracBlock.order,pracBlocksFile,prac_trials.order
,,,ember,A,2024-05-08_15h25.30.183,Fish Game,2023.1.3,MacIntel,60.24096386,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,401.6337,2,right,1.5,403.7344,0,2,2,2,1,stimuli/bead_b.PNG,stimuli/bead_b.PNG,stimuli/bead_y.PNG,stimuli/blank.jpg,stimuli/blank.jpg,0,1,left,0.5658,,0,,,,,,,,,,,,,
,,,ember,A,2024-05-08_15h25.30.183,Fish Game,2023.1.3,MacIntel,60.24096386,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,404.2334,3,left,1,406.181,0,3,3,3,1,stimuli/bead_b.PNG,stimuli/bead_b.PNG,stimuli/bead_b.PNG,stimuli/bead_y.PNG,stimuli/blank.jpg,0,1,left,0.9364,,1,,,,,,,,,,,,,
,,,ember,A,2024-05-08_15h25.30.183,Fish Game,2023.1.3,MacIntel,60.24096386,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,406.6811,4,left,1,408.2308,0,4,4,4,1,stimuli/bead_b.PNG,stimuli/bead_b.PNG,stimuli/bead_b.PNG,stimuli/bead_b.PNG,stimuli/bead_y.PNG,0,1,left,0.5178,,1,,,,,,,,,,,,,
,,,ember,A,2024-05-08_15h25.30.183,Fish Game,2023.1.3,MacIntel,60.24096386,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,408.7307,5,left,0.5,409.798,0,5,5,5,1,stimuli/bead_g.PNG,stimuli/bead_b.PNG,stimuli/bead_b.PNG,stimuli/bead_b.PNG,stimuli/bead_b.PNG,0,1,left,0.5427,,1,,,,,,,,,,,,,
,,,ember,A,2024-05-08_15h25.30.183,Fish Game,2023.1.3,MacIntel,60.24096386,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,410.2975,6,left,1,412.0472,0,6,6,6,1,stimuli/bead_b.PNG,stimuli/bead_g.PNG,stimuli/bead_b.PNG,stimuli/bead_b.PNG,stimuli/bead_b.PNG,0,1,left,0.7327,,1,,,,,,,,,,,,,
,,,ember,A,2024-05-08_15h25.30.183,Fish Game,2023.1.3,MacIntel,60.24096386,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,412.5474,7,left,0.5,413.7976,0,7,7,7,1,stimuli/bead_b.PNG,stimuli/bead_b.PNG,stimuli/bead_g.PNG,stimuli/bead_b.PNG,stimuli/bead_b.PNG,0,1,left,0.7447,,1,,,,,,,,,,,,,
,,,ember,A,2024-05-08_15h25.30.183,Fish Game,2023.1.3,MacIntel,60.24096386,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,414.2974,8,left,0.5,415.3647,0,8,8,8,1,stimuli/bead_y.PNG,stimuli/bead_b.PNG,stimuli/bead_b.PNG,stimuli/bead_g.PNG,stimuli/bead_b.PNG,0,1,left,0.5555,,1,,,,,,,,,,,,,
,,,ember,A,2024-05-08_15h25.30.183,Fish Game,2023.1.3,MacIntel,60.24096386,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,415.8718,9,,1.5,415.3647,0,9,9,9,1,stimuli/bead_b.PNG,stimuli/bead_y.PNG,stimuli/bead_b.PNG,stimuli/bead_b.PNG,stimuli/bead_g.PNG,0,1,left,,,,,,,,,,,,,,,,
,,,ember,A,2024-05-08_15h25.30.183,Fish Game,2023.1.3,MacIntel,60.24096386,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,421.083,10,left,0.5,422.1979,0,10,10,10,1,stimuli/bead_g.PNG,stimuli/bead_b.PNG,stimuli/bead_y.PNG,stimuli/bead_b.PNG,stimuli/bead_b.PNG,2,3,right,0.5974,,0,,,,,,,,,,,,,
,,,ember,A,2024-05-08_15h25.30.183,Fish Game,2023.1.3,MacIntel,60.24096386,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,422.6984,11,left,1,424.3984,0,11,11,11,1,stimuli/bead_b.PNG,stimuli/bead_g.PNG,stimuli/bead_b.PNG,stimuli/bead_y.PNG,stimuli/bead_b.PNG,2,3,right,0.6705,,0,,,,,,,,,,,,,
,,,ember,A,2024-05-08_15h25.30.183,Fish Game,2023.1.3,MacIntel,60.24096386,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,424.8986,12,left,1,426.4983,0,12,12,12,1,stimuli/bead_g.PNG,stimuli/bead_b.PNG,stimuli/bead_g.PNG,stimuli/bead_b.PNG,stimuli/bead_y.PNG,2,3,right,0.5775,,0,,,,,,,,,,,,,
,,,ember,A,2024-05-08_15h25.30.183,Fish Game,2023.1.3,MacIntel,60.24096386,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,426.9973,13,left,1.5,429.0324,0,13,13,13,1,stimuli/bead_g.PNG,stimuli/bead_g.PNG,stimuli/bead_b.PNG,stimuli/bead_g.PNG,stimuli/bead_b.PNG,2,3,right,0.5159,,0,,,,,,,,,,,,,
,,,ember,A,2024-05-08_15h25.30.183,Fish Game,2023.1.3,MacIntel,60.24096386,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,429.5323,14,left,1.5,431.6162,0,14,14,14,1,stimuli/bead_g.PNG,stimuli/bead_g.PNG,stimuli/bead_g.PNG,stimuli/bead_b.PNG,stimuli/bead_g.PNG,2,3,right,0.5742,,0,,,,,,,,,,,,,
,,,ember,A,2024-05-08_15h25.30.183,Fish Game,2023.1.3,MacIntel,60.24096386,,,,,,,,,,,,,,,1,,,,,,,,,,,,2,1condition/mainTrials2.xlsx,437.1219,0,up,1.5,439.2182,0,0,0,0,1,stimuli/bead_y.PNG,stimuli/blank.jpg,stimuli/blank.jpg,stimuli/blank.jpg,stimuli/blank.jpg,1,2,up,0.5703,,1,[6],,,,,,,,,,,,
,,,ember,A,2024-05-08_15h25.30.183,Fish Game,2023.1.3,MacIntel,60.24096386,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,439.7145,1,up,0.5,440.7983,0,1,1,1,1,stimuli/bead_b.PNG,stimuli/bead_y.PNG,stimuli/blank.jpg,stimuli/blank.jpg,stimuli/blank.jpg,1,2,up,0.5591,,1,,,,,,,,,,,,,
,,,ember,A,2024-05-08_15h25.30.183,Fish Game,2023.1.3,MacIntel,60.24096386,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,441.2981,2,up,1.5,443.4481,0,2,2,2,1,stimuli/bead_y.PNG,stimuli/bead_b.PNG,stimuli/bead_y.PNG,stimuli/blank.jpg,stimuli/blank.jpg,1,2,up,0.6158,,1,,,,,,,,,,,,,
,,,ember,A,2024-05-08_15h25.30.183,Fish Game,2023.1.3,MacIntel,60.24096386,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,443.9476,3,up,0.5,445.1146,0,3,3,3,1,stimuli/bead_y.PNG,stimuli/bead_y.PNG,stimuli/bead_b.PNG,stimuli/bead_y.PNG,stimuli/blank.jpg,1,2,up,0.6382,,1,,,,,,,,,,,,,
,,,ember,A,2024-05-08_15h25.30.183,Fish Game,2023.1.3,MacIntel,60.24096386,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,445.6151,4,up,0.5,446.7159,0,4,4,4,1,stimuli/bead_g.PNG,stimuli/bead_y.PNG,stimuli/bead_y.PNG,stimuli/bead_b.PNG,stimuli/bead_y.PNG,1,2,up,0.593,,1,,,,,,,,,,,,,
,,,ember,A,2024-05-08_15h25.30.183,Fish Game,2023.1.3,MacIntel,60.24096386,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,447.216,5,up,0.5,448.3163,0,5,5,5,1,stimuli/bead_y.PNG,stimuli/bead_g.PNG,stimuli/bead_y.PNG,stimuli/bead_y.PNG,stimuli/bead_b.PNG,1,2,up,0.5902,,1,,,,,,,,,,,,,
,,,ember,A,2024-05-08_15h25.30.183,Fish Game,2023.1.3,MacIntel,60.24096386,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,448.8168,6,up,1,450.4475,0,6,6,6,1,stimuli/bead_b.PNG,stimuli/bead_y.PNG,stimuli/bead_g.PNG,stimuli/bead_y.PNG,stimuli/bead_y.PNG,0,1,left,0.6115,,0,,,,,,,,,,,,,
,,,ember,A,2024-05-08_15h25.30.183,Fish Game,2023.1.3,MacIntel,60.24096386,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,450.9475,7,left,1.5,453.1154,0,7,7,7,1,stimuli/bead_b.PNG,stimuli/bead_b.PNG,stimuli/bead_y.PNG,stimuli/bead_g.PNG,stimuli/bead_y.PNG,0,1,left,0.6613,,1,,,,,,,,,,,,,
,,,ember,A,2024-05-08_15h25.30.183,Fish Game,2023.1.3,MacIntel,60.24096386,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,453.6141,8,left,1.5,455.6486,0,8,8,8,1,stimuli/bead_y.PNG,stimuli/bead_b.PNG,stimuli/bead_b.PNG,stimuli/bead_y.PNG,stimuli/bead_g.PNG,0,1,left,0.5123,,1,,,,,,,,,,,,,
,,,ember,A,2024-05-08_15h25.30.183,Fish Game,2023.1.3,MacIntel,60.24096386,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,456.1474,9,left,0.5,457.2482,0,9,9,9,1,stimuli/bead_b.PNG,stimuli/bead_y.PNG,stimuli/bead_b.PNG,stimuli/bead_b.PNG,stimuli/bead_y.PNG,0,1,left,0.5756,,1,,,,,,,,,,,,,
,,,ember,A,2024-05-08_15h25.30.183,Fish Game,2023.1.3,MacIntel,60.24096386,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,457.7476,10,left,1,459.265,0,10,10,10,1,stimuli/bead_b.PNG,stimuli/bead_b.PNG,stimuli/bead_y.PNG,stimuli/bead_b.PNG,stimuli/bead_b.PNG,0,1,left,0.5088,,1,,,,,,,,,,,,,
,,,ember,A,2024-05-08_15h25.30.183,Fish Game,2023.1.3,MacIntel,60.24096386,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,459.766,11,left,1.5,461.9164,0,11,11,11,1,stimuli/bead_b.PNG,stimuli/bead_b.PNG,stimuli/bead_b.PNG,stimuli/bead_y.PNG,stimuli/bead_b.PNG,0,1,left,0.6424,,1,,,,,,,,,,,,,
